DateTime,PPM25,PPM10,MEAN25,MEAN10
2018-02-18 23:00:00,7.0,8.0,,
2018-02-18 23:15:00,7.0,8.0,,
2018-02-18 23:30:00,9.0,12.0,,
2018-02-18 23:45:00,10.0,13.0,,
2018-02-19 00:00:00,9.0,13.0,,
2018-02-19 00:15:00,9.0,12.0,,
2018-02-19 00:30:00,9.0,11.0,,
2018-02-19 00:45:00,9.0,11.0,,
2018-02-19 01:00:00,9.0,11.0,,
2018-02-19 01:15:00,9.0,10.0,,
2018-02-19 01:30:00,9.0,10.0,,
2018-02-19 01:45:00,9.0,10.0,,
2018-02-19 02:00:00,8.0,9.0,,
2018-02-19 02:15:00,8.0,9.0,,
2018-02-19 02:30:00,8.0,9.0,,
2018-02-19 02:45:00,8.0,9.0,,
2018-02-19 03:00:00,8.0,9.0,,
2018-02-19 03:15:00,8.0,9.0,,
2018-02-19 03:30:00,8.0,9.0,,
2018-02-19 03:45:00,8.0,9.0,,
2018-02-19 04:00:00,8.0,9.0,,
2018-02-19 04:15:00,8.0,9.0,,
2018-02-19 04:30:00,8.0,9.0,,
2018-02-19 04:45:00,8.0,9.0,,
2018-02-19 05:00:00,8.0,9.0,,
2018-02-19 05:15:00,8.0,8.0,,
2018-02-19 05:30:00,8.0,8.0,,
2018-02-19 05:45:00,8.0,9.0,,
2018-02-19 06:00:00,8.0,9.0,,
2018-02-19 06:15:00,9.0,12.0,,
2018-02-19 06:30:00,11.0,12.0,,
2018-02-19 06:45:00,12.0,13.0,,
2018-02-19 07:00:00,11.0,12.0,,
2018-02-19 07:15:00,10.0,12.0,,
2018-02-19 07:30:00,10.0,12.0,,
2018-02-19 07:45:00,10.0,12.0,,
2018-02-19 08:00:00,10.0,12.0,,
2018-02-19 08:15:00,11.0,12.0,,
2018-02-19 08:30:00,10.5,12.0,,
2018-02-19 08:45:00,11.0,12.0,,
2018-02-19 09:00:00,27.0,31.0,,
2018-02-19 09:15:00,23.0,26.0,,
2018-02-19 09:30:00,23.0,26.0,,
2018-02-19 09:45:00,21.0,23.0,,
2018-02-19 10:00:00,20.0,22.0,,
2018-02-19 10:15:00,20.0,22.0,,
2018-02-19 10:30:00,21.0,23.0,,
2018-02-19 10:45:00,18.0,20.0,,
2018-02-19 11:00:00,16.0,18.0,,
2018-02-19 11:15:00,16.0,18.0,,
2018-02-19 11:30:00,15.0,17.0,,
2018-02-19 11:45:00,15.0,16.0,,
2018-02-19 12:00:00,17.0,18.0,,
2018-02-19 12:15:00,19.0,21.0,,
2018-02-19 12:30:00,19.0,21.0,,
2018-02-19 12:45:00,19.0,21.0,,
2018-02-19 13:00:00,17.0,19.0,,
2018-02-19 13:15:00,16.0,18.0,,
2018-02-19 13:30:00,18.0,20.0,,
2018-02-19 13:45:00,18.0,20.0,,
2018-02-19 14:00:00,15.0,17.0,,
2018-02-19 14:15:00,13.0,15.0,,
2018-02-19 14:30:00,12.0,14.0,,
2018-02-19 14:45:00,12.0,13.0,,
2018-02-19 15:00:00,12.0,13.0,,
2018-02-19 15:15:00,13.0,15.0,,
2018-02-19 15:30:00,12.0,14.0,,
2018-02-19 15:45:00,11.0,12.0,,
2018-02-19 16:00:00,11.0,12.0,,
2018-02-19 16:15:00,11.0,12.0,,
2018-02-19 16:30:00,11.0,12.0,,
2018-02-19 16:45:00,10.0,11.0,,
2018-02-19 17:00:00,10.0,11.0,,
2018-02-19 17:15:00,10.0,11.0,,
2018-02-19 17:30:00,10.0,11.0,,
2018-02-19 17:45:00,9.0,10.0,,
2018-02-19 18:00:00,11.0,12.0,,
2018-02-19 18:15:00,11.0,13.0,,
